AFF_LOVE_POINT	Sevgi Puani: %%%d
TOOLTIP_APPLY_IMMUNE_STUN	Sersemlik karsisinda bagisiklik	SNA	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	Iki Kat esya dusme sansi %%%d	SA	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	HP yenileme sansi %%%d	SA	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	SP yenileme sansi %%%d	SA	SA
TOOLTIP_APPLY_MANA_BURN_PCT	SP calma sansi %%%d	SA	SA
TOOLTIP_APPLY_HIT_HP_RECOVERY	Złodziej życia +%d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	Maks. HP %%%d	SA	SA
TOOLTIP_APPLY_MAX_SP_PCT	Maks. SP +%%%d	SA	SA
TOOLTIP_APPLY_TERROR	Siła ataku wroga -%d%% 	SA
TOOLTIP_APPLY_RESIST_NORMAL_DAMAGE	Odporność na ataki fizyczne %d%% 	SA
TOOLTIP_APPLY_NOAFFECT	Efekt yok.
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter olup burada basla dediginde deneyim kaybetmeyecek.	SNA	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Delici Vurus icin sansi %%%d	SA	SA
TOOLTIP_APPLY_POISON_PCT	Zehirleme sansi %%%d	SA	SA
TOOLTIP_APPLY_POISON_REDUCE	Zehre karsi koyma %%%d	SA	SA
TOOLTIP_APPLY_POTION_BONUS	Iksir etkisi %%%d yukseldi	SA	SA
TOOLTIP_APPLY_REFLECT_ARROW	Szansa na odbicie Pocisku: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Yakin dovus vuruslarini yansitma sansi: %%%d	SA	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja saldirilarina karsi savunma sansi %%%d	SA	SA
TOOLTIP_APPLY_RESIST_BELL	Can Savunmasi %%%d	SA	SA
TOOLTIP_APPLY_RESIST_DAGGER	Bicak Savunmasi %%%d	SA	SA
TOOLTIP_APPLY_RESIST_FAN	Yelpaze Savunmasi %%%d	SA	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Saman saldirilarina karsi savunma sansi: %%%d	SA	SA
TOOLTIP_APPLY_RESIST_SURA	Sura saldirilarina karsi savunma sansi: %%%d	SA	SA
TOOLTIP_APPLY_RESIST_SWORD	Kilic Savunmasi %%%d	SA	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Cift-El Savunma %%%d	SA	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Savasci saldirilarina karsi savunma sansi: %%%d	SA	SA
TOOLTIP_APPLY_RESIST_WIND	Ruzgar Dayanikliligi %%%d	SA	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaptan ogrenme sansi 2,5 artti.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Ogrenme basarisiz olursa, aninda bir kere daha deneme sansina sahipsin.	SNA	SNA
TOOLTIP_APPLY_SLOW_PCT	Yavaslama sansi: %%%d	SA	SA
TOOLTIP_APPLY_STEAL_HP	%%%d hasar, HP ile absorbe edilecek	SA	SA
TOOLTIP_APPLY_STEAL_SP	%%%d hasar, SP ile absorbe edilecek.	SA	SA
TOOLTIP_APPLY_STUN_PCT	Bayilma sansi: %%%d	SA	SA
TOOLTIP_APPLY_IMMUNE_STUN_BREAK_PCT	Szansa na Przebicie Niewrażliwości Omdlenia +%d%%	SA
TOOLTIP_APPLY_ABSORB_DAMAGE	Absorpcja %d obrażen	SA
TOOLTIP_APPLY_ABSORB_DAMAGE_MONSTER	Absorpcja %d obrażen od potworów	SA
TOOLTIP_APPLY_RESIST_HUMAN	Odporność na Ludzi +%d%%	SA
TOOLTIP_APPLY_FIRE_PCT	Szansa na Podpalenie +%d%%	SA
TOOLTIP_APPLY_CONVERT_DAMAGE_TO_SP	+%d%% obrażeń zostanie odebranych z PE	SA
TOOLTIP_APPLY_DROP_RARE	Szansa na zdobycie przedmiotu z bonusem +%d%%	SA
TOOLTIP_ARMOR	Zirh
TOOLTIP_ARROW	Ok
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Saldiri Degeri +%d	SA	SA
TOOLTIP_ATT_GRADE_MONSTER	Wartość Ataku w potwory +%d	SA
TOOLTIP_RESIST_MONSTER_1000PCT	Odporność na potwory +%.1f%%
TOOLTIP_ATT_SPEED	Saldiri Hizi +%%%d	SA	SA
TOOLTIP_AUTO_POTION_HP	Gunes Ozutu
TOOLTIP_AUTO_POTION_REST	Kalan miktar: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ay Ozutu
TOOLTIP_AUTO_POTION_USING	Etkin
TOOLTIP_BOW_DISTANCE	Yay Menzili +%dm	SA	SA
TOOLTIP_BUYPRICE	Fiyati: %s
TOOLTIP_BUYPRICE_REPUTATION	Cena: %s reputacji
TOOLTIP_BUYPRICE_CURRENCY	Cena: %s %s
TOOLTIP_BUYPRICE_STACK	Cena za 1 szt.: %s
TOOLTIP_CAST_SPEED	Buyu Hizi +%%%d	SA	SA
TOOLTIP_REAL_CAST_SPEED	Skrócenie ładowania um. o %d%% 
TOOLTIP_MAGIC_DAMAGE_BONUS	Magiczne Obrażenia w potwory +%d%% 
TOOLTIP_MAGIC_DAMAGE_BONUS_PC	Bonus Magicznych obrażeń +%d%% 
TOOLTIP_MAGIC_BONUS_SP	Bonusowe PE: %d 
TOOLTIP_CON	Canlilik +%d	SA	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostum bonusu %%%d	SA	SA
TOOLTIP_DEF_GRADE	Savunma +%d	SA	SA
TOOLTIP_DEX	Ceviklik +%d	SA	SA
TOOLTIP_DRAGON_SOUL_DECK1	Dunya	SNA	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Gokyuzu	SNA	SNA
TOOLTIP_EAR	Kupe
TOOLTIP_ENERGY	Enerji %d	SA	SA
TOOLTIP_ETC	v.b.
TOOLTIP_FISHINGROD_EXP	Puanlar %d / %d
TOOLTIP_FISHINGROD_LEVEL	Seviye: %d
TOOLTIP_FISHINGROD_UPGRADE1	Onu balikciya ver;
TOOLTIP_FISHINGROD_UPGRADE2	daha iyi
TOOLTIP_FISHINGROD_UPGRADE3	bir olta almak icin.
TOOLTIP_FISH_LEN	Uzunluk: %.2fcm
TOOLTIP_HELMET	Kask
TOOLTIP_HP_REGEN	HP Uretimi +%%%d	SA	SA
TOOLTIP_ST_REGEN	Regeneracja ST: +%d%%	SA
TOOLTIP_INT	Zeka +%d	SA	SA
TOOLTIP_ITEM_ATT_GRADE	Saldiri degeri %d
TOOLTIP_ITEM_ATT_POWER	Saldiri degeri %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Saldiri degeri %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Saldiri degeri %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Saldiri hizi %s
TOOLTIP_ITEM_DEF_GRADE	Defans %d
TOOLTIP_ITEM_FAST	Hizli
TOOLTIP_ITEM_LIMIT_CON	Canlilik ust limiti: %d
TOOLTIP_ITEM_LIMIT_DEX	Ceviklik ust limiti: %d
TOOLTIP_ITEM_LIMIT_INT	Zeka ust limiti: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Seviye: %d
TOOLTIP_ITEM_LIMIT_STR	Guc ust limiti: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Buyulu saldiri degeri %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Buyulu saldiri degeri %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Buyu Savunmasi %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Yavas
TOOLTIP_ITEM_VERY_FAST	Cok Hizli
TOOLTIP_ITEM_VERY_SLOW	Cok Yavas
TOOLTIP_ITEM_WEARABLE_JOB	[ Giyilebilir ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Sans Numarasi: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Buyu Saldiri +%%%d	SA	SA
TOOLTIP_MAGIC_ATT_GRADE	Buyulu Saldiri Degeri +%d	SA	SA
TOOLTIP_MAGIC_DEF_GRADE	Buyu Savunmasi +%d	SA	SA
TOOLTIP_MALL_ATTBONUS	Saldiri Degeri +%%%d	SA	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Saldiri Degeri +12~15%	SNA	SNA
TOOLTIP_MALL_AUTOLOOT	Yerdeki mevcut Yang`in otomatik olarak toplanmasini saglayan el.	SNA	SNA
TOOLTIP_MALL_DEFBONUS	Savunma +%%%d	SA	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Savunma +12~15%	SNA	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%%%d	SA	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%%%d	SA	SA
TOOLTIP_MALL_EXPBONUS_STATIC	EXP artisini %50 arttirir	SNA	SNA
TOOLTIP_MALL_FISH_MIND	Balik yakalama sansini ikiye katlar.	SNA	SNA
TOOLTIP_MALL_GOLDBONUS	Elde edilen yang kat sayisi %.1f olarak degisti.	SA	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Yang elde etme sansini ikiye katlar.	SNA	SNA
TOOLTIP_MALL_ITEMBONUS	Elde edilen nesne katsayisi %.1f olarak degisti.	SA	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Esya ele gecirme sans artisi %.1f%%	SA	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Esya ele gecirme sansini ikiye katlar.	SNA	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Sevgi Puani daha hizli artar.	SNA	SNA
TOOLTIP_MALL_SAFEBOX	Depoya fazladan 2 oda daha eklenir	SNA	SNA
TOOLTIP_MALL_SHOP_PREMIUM	Sklep Premium	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%%%d	SA	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%%%d	SA	SA
TOOLTIP_MAX_STAMINA	Max. Dayaniklilik +%d	SA	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Buyu Saldiri / Yakin Dovus Saldiri +%%%d	SA	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Hareket Hizi %%%d	SA	SA
TOOLTIP_NECK	Kolye
TOOLTIP_NEED_ALL_SP	Gereken SP: Max.
TOOLTIP_NEED_GSP	Gereken Ejderha Hayaleti: %d
TOOLTIP_NEED_HP	Gereken HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP/Sn.: %d
TOOLTIP_NEED_STAMINA	Wymagane ST: %d
TOOLTIP_NEED_STAMINA_PER_SEC	Stamina / sek.: %d
TOOLTIP_NEED_SKILL_POINT	Gereken Beceri Puani:
TOOLTIP_NEED_SP	Gereken SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP: %d / Sn.
TOOLTIP_NEXT_SKILL_LEVEL_1	Sonraki Seviye: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Sonraki Seviye: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Ortalama Zarar %%%d	SA	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Ortalama Zarara Direnis %%%d	SA	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Grup uyesi %d den fazla.
TOOLTIP_PARTY_INFO_GRADE_UP2	Saldiri Seviyesi +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Savunma Seviyesi +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Tum grup uyelerine 60 dakika HP/SP Yuklenir.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Tum grup uyelerine 30 dakika HP/SP Yuklenir.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Grup uyesi oldukten sonra 3 dakika beklemelisiniz.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Ayni serverda oldugunuz zaman grup uyelerinizi cagirabilirsiniz.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Saldiri Seviyesi +(Grup uye sayisi./2) %d Saldiri birimi secilebilir.
TOOLTIP_PARTY_INFO_SET_TANKER	Savunma Seviyesi +(Grup uye sayisi)  1 Yakin Dovus Savascisi secilebilir.
TOOLTIP_PARTY_SKILL_LEVEL	Mevcut Seviye: %d
TOOLTIP_PARTY_NEXT_SKILL_LEVEL	Następny poziom
TOOLTIP_PARTY_TITLE_GRADE_UP	[Saldiri/Savunma yukseltildi]
TOOLTIP_PARTY_TITLE_HEAL	[Yukleme]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	%d Grup uyesi oldugunda %%%d bonus EXP alirsin.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Cagir]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Saldiri Birimi olarak ayarla]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Yakin Dovus Savascisi olarak belirle]
TOOLTIP_PICK_EXP	Puanlar: %d / %d
TOOLTIP_PICK_LEVEL	Seviye: %d
TOOLTIP_PICK_UPGRADE1	Onu oduncuya ver;
TOOLTIP_PICK_UPGRADE2	daha iyi
TOOLTIP_PICK_UPGRADE3	bir kazma alabilmek icin.
TOOLTIP_HERB_KNIFE_UPGRADE1	Daj to Yu-Hwan'owi
TOOLTIP_HERB_KNIFE_UPGRADE2	aby dostać
TOOLTIP_HERB_KNIFE_UPGRADE3	ulepszony Nóż.
TOOLTIP_POTION_CURE	Olumsuz sonuclari geri al.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Saldiri Hizi: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP: +%%%d
TOOLTIP_POTION_PLUS_HP_POINT	HP: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Hareket Hizi: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP: +%%%d
TOOLTIP_POTION_PLUS_SP_POINT	SP: +%d
TOOLTIP_POTION_SEC	Sn.
TOOLTIP_POTION_TIME	Sure:
TOOLTIP_POTION_GROUP	Grupa: %s
TOOLTIP_POTION_GROUP_GENERAL_USE	Ogólne
TOOLTIP_POTION_GROUP_BOOST	Wzmocnienie (max. 5)
TOOLTIP_POTION_GROUP_OFFENSIVE	Ofensywne (max. 3)
TOOLTIP_POTION_GROUP_DEFENSIVE	Defensywne (max. 2)
TOOLTIP_POTION_GROUP_FOOD	Jedzenie (max. 2)
TOOLTIP_POTION_COOLDOWN	Ponowne użycie po %s
TOOLTIP_REQUIREMENT_21_LEVEL	21.Seviyeye ulasmis olmalisin.
TOOLTIP_REQUIREMENT_41_LEVEL	41.Seviyeye ulasmis olmalisin.
TOOLTIP_REQUIREMENT_LEVEL	%d.Seviyeye ulasmis olmalisin.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Seviye %d gerekli.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d gerekli
TOOLTIP_RESIST_BOW	Oka karsi dayaniklilik %%%d	SA	SA
TOOLTIP_RESIST_DARK	Karanlik Direnci +%%%d	SA	SA
TOOLTIP_RESIST_EARTH	Dunya Direnci +%%%d	SA	SA
TOOLTIP_RESIST_ELEC	Simsege karsi dayaniklilik %%%d	SA	SA
TOOLTIP_RESIST_FIRE	Atese karsi dayaniklilik %%%d	SA	SA
TOOLTIP_RESIST_ICE	Buz Direnci +%%%d	SA	SA
TOOLTIP_RESIST_MAGIC	Buyuye karsi dayaniklilik %%%d	SA	SA
TOOLTIP_DAGGER_ATT_GRADE_MONSTER	Obraż. sztyletów w potwory +%d	SA
TOOLTIP_REST_USABLE_COUNT	Kalan: %d
TOOLTIP_SEALED	Ruha bagli
TOOLTIP_SELLPRICE	Fiyat: %s
TOOLTIP_SHAMAN	Saman
TOOLTIP_SHIELD	Kalkan
TOOLTIP_SHOES	Ayakkabi
TOOLTIP_SKILL	Beceriler	SNA	SNA
TOOLTIP_SKILLBOOK_NAME	Beceri Kitabi
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Saldiri Degeri: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Saldiri Degeri:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Saldiri Hizi: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Savunma:
TOOLTIP_SKILL_AFFECT_DODGE	Rakip saldiri degeri: -
TOOLTIP_SKILL_AFFECT_HEAL	Yuklenen HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Hareket Hizi: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Yakin dovus saldirilarini yansitma sansi:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Beden hasarina karsi koyma:
TOOLTIP_SKILL_COOL_TIME	Yukleme Suresi: 
TOOLTIP_SKILL_DAMAGE_BONUS	Beceri Hasari %%%d	SA	SA
TOOLTIP_SKILL_DEFEND_BONUS	Beceri hasarina karsi koyma %%%d	SA	SA
TOOLTIP_SKILL_DURATION	Sure: %d Sn.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Unutkanligin Kitabi
TOOLTIP_SKILL_LEVEL	Guncel Seviye: %d
TOOLTIP_SKILL_LEVEL_MASTER	Guncel Seviye: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Guncel Seviye: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Bos
TOOLTIP_SOCKET_REFINABLE_ITEM	[Slotlu Nesne]
TOOLTIP_SP_REGEN	SP Uretimi +%%%d	SA	SA
TOOLTIP_BREAK_TEMPLE_CURSE	Szansa na złamanie Klątwy Świątyni +%d%%	SA
TOOLTIP_POINT_CURSE_PCT	Otrzymywane Obrażenia +%d%%	SA
TOOLTIP_DEF_BONUS	Wzmocnienie Obrony +%d%%	SA
TOOLTIP_STR	Guc +%d	SA	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Sure Yukleme %d sn.	SA	SA
TOOLTIP_TIME_CHARGER_PER	Sure Yukleme %%%d	SA	SA
TOOLTIP_UNIQUE	Essiz
TOOLTIP_UNSEAL_LEFT_TIME	Ruhtan ayrilma: %dH %dM sonra
TOOLTIP_WARRIOR	Savasci
TOOLTIP_WEAPON	Silah
TOOLTIP_WRISTLET	Bileklik
UI_ACCEPT	Kabul
UI_CANCEL	iptal
UI_CLOSE	Kapat
UI_DEFAULT_FONT_NAME	Tahoma
UI_FONT_SIZE_DEFAULT	12
UI_DENY	Red
UI_ITEM	Nesne
UI_LEFT_TIME	Kalan Zaman: %d Sec.
UI_NEXT	Devam
UI_NEXTPAGE	Devam
UI_NOCONTENTS	Icerik yok
UI_NONAME	isimsiz
UI_OK	OK
UI_POS_UNKNOWN	Bilinmeyen Yer
UI_PREVPAGE	Geri
UI_UNKNOWN	Bilinmeyen
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload yeniden baslatilmali.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload yeniden baslatilmali.
USE_ITEM_FAILURE_PRIVATE_SHOP	Ozel bir dukkan actigin surece, nesneleri kullanamazsin.
USE_SKILL_ERROR_UNKNOWN	Bilinmeyen Beceri Hatasi: %s
MOVE_CHANNEL_99	Kanał Specjalny
MOVE_CHANNEL_CANCEL	Anuluj
MOVE_CHANNEL_NOTICE	Jesteś połączony z kanałem %d.
MOVE_CHANNEL_NOTICE_99	Jesteś połączony z kanałem specjalnym.
MOVE_CHANNEL_NOT_MOVE	Nie możesz zmienić kanału.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Zmień kanał
SHOP_TAX_INFO1	Suma wartości sklepu jest pomniejszona o podatek. Obecnie podatek w królestwie wynosi:
SHOP_TAX_INFO2	Sprzedając wszystkie przedmioty w sklepie zapłacisz %s podatku.
SHOP_ERROR_EMPTY_SIGN	Podaj nazwę sklepu.
SHOP_ERROR_EMPTY_STOCK	Dodaj przedmioty do sklepu.
SHOP_ERROR_SELECT_TIME	Wybierz jaki rodzaj sklepu chcesz otworzyć.
SHOP_ERROR_TOO_MUCH_GOLD	Suma zarobków sklepu nie może przekroczyć 2.000.000.000 Yang.
MYSHOP_BUY	Ktoś zakupił |cffd9ca75%dx %s|r z Twojego sklepiku za |cffd9ca75%s|r.
MYSHOP_MANAGE_OPEN_ERROR	Nie masz otwartego sklepu, a depozyt sklepu jest pusty.
SHOP_REMOVE_ITEM_QUESTION	Czy chcesz usunąć %dx %s ze sklepu?
SHOP_NAME_TITLE	Sklep - %s
SHOP_PLACE_ITEM_ON_LOCKED_SLOT	Nie możesz postawić przedmiotu na tym miejscu w sklepie.
SHOP_NO_PREMIUM	Nie posiadasz sklepu premium.
DURATION1	Bardzo krótko
DURATION2	Krótko
DURATION3	Średnio
DURATION4	Długo
DURATION5	Bardzo długo
SHOP_DURATION_TOOLTIP_TEXT	Od %d do %d godz.
SHOP_DURATION_TOOLTIP_TEXT2	Ponad %d godz.
SHOP_DURATION_TOOLTIP_TEXT3	Poniżej %d godz.
SHOP_LOAD_CONFIG_QUESTION1_1	Wykryto konfiguracje sklepu, który nie został otwarty.
SHOP_LOAD_CONFIG_QUESTION1_2	Czy chcesz przywrócić ostatnie ustawienie sklepu?
SHOP_LOAD_CONFIG_QUESTION2_1	Uwaga: Jeżeli zmieniły się pozycje przedmiotów w ekwipunku,
SHOP_LOAD_CONFIG_QUESTION2_2	sklep może posiadać niepoprawne przedmioty. Kontynuować?
MALL_HP_BONUS_NAME	Życie Boga Smoków
MALL_ATT_BONUS_NAME	Atak Boga Smoków
MALL_IQ_BONUS_NAME	Inteligencja Boga Smoków
MALL_DEF_BONUS_NAME	Obrona Boga Smoków
MALL_CRIT_BONUS_NAME	Dłoń Krytyka
MALL_PENET_BONUS_NAME	Dłoń Przebicia
MALL_EXP_BONUS_NAME	Mikstura Mądrości
TOOLTIP_POLYMORPH	Polimorfia
TOOLTIP_DELETE_AFFECT	|Eshortcut/mright|e - usuń efekt
TOOLTIP_POINT_POLYMORPH	Przemiana w %s
TOOLTIP_POINT_ATT_BONUS	Atak +%d%%
AFFECT_INFINITE	Efekt nigdy się nie kończy.
AFFECT_NEAR_END	< 10 sek
MASS_SELL_QUESTION	Czy chcesz dokonać masowej sprzedaży?
MASS_SELL_WARNING_REFINE_LEVEL	Wykryto wysoki poziom ulepszenia, kontynuować?
MASS_SELL_WARNING_HIGH_PRICE	Wykryto potencjalnie wartościowy przedmiot, kontynuować?
MASS_SELL_WARNING_ATTRIBUTE	Wykryto przedmiot z bonusem, kontynuować?
FISHING_GAME_TUTORIAL_QUESTION1	Gratulacje! Czy chcesz wyświetlać poradnik
FISHING_GAME_TUTORIAL_QUESTION2	przy kolejnych próbach łowienia?
TOOLTIP_ABSORB	Absorpcja %d obr.
ITEMSHOP_NO_DESCRIPTION	Najedź myszką na przedmiot, aby zobaczyć opis.
ITEMSHOP_SEARCH_PLACEHOLDER	Szukaj przedmiotu w całym sklepie
ITEMSHOP_CATEGORY_ADD_COINS	Doładuj SM!
ITEMSHOP_CATEGORY_SUBSCRIPTION	Konto Premium
ITEMSHOP_CATEGORY_TIMED	Oferty Błyskawiczne
ITEMSHOP_CATEGORY_FEATURED	Polecane
ITEMSHOP_CATEGORY_HAIR	Fryzury
ITEMSHOP_CATEGORY_BOOSTERS	Mikstury
ITEMSHOP_CATEGORY_SCROLLS_AND_BOOKS	Zwoje i księgi
ITEMSHOP_CATEGORY_EQUIPMENT	Wyposażenie
ITEMSHOP_CATEGORY_MARRIAGE	Małżeństwo
ITEMSHOP_CATEGORY_VIP	VIPy
ITEMSHOP_CATEGORY_DRAGON_MARK	Smocze Znaki
ITEMSHOP_CATEGORY_REFINE	Uszlachetnianie
ITEMSHOP_CATEGORY_DRAGON_VOUCHERS	Kupony SM
ITEMSHOP_EVENT_HAPPYHOUR	Happy Hour
ITEMSHOP_CHECK	Sprawdź
ITEMSHOP_SUBSCRIPTION_ITEM_DESCRIPTION	Sprawdź ofertę |cffffb62ekonta premium|r,[ENTER]to najlepszy wybór dla większości graczy.
ITEMSHOP_TIME_EVENT_ITEM_DESCRIPTION	Skorzystaj z |cff2b80ffofert błyskawicznych|r![ENTER]Aukcje trwają najpóźniej do |cff2b80ff%s|r[ENTER]lub do wyczerpania zapasów.
ITEMSHOP_HAPPYHOUR_ITEM_DESCRIPTION	Obecnie trwa |cffe093f5Happy Hour|r! W ramach wydarzenia[ENTER]przy doładowaniu otrzymasz |cffe093f5+%d%%|r więcej SM![ENTER]Wydarzenie trwa do |cffe093f5%s|r.
ITEMSHOP_SEARCH_DRAGON_VOUCHER_DESC	Możesz w szybki sposób wyszukać wszystkie[ENTER]kupony SM na rynku sklepów graczy.[ENTER]Sprawdź, gdzie możesz kupić kupon.
ITEMSHOP_SEARCH_DRAGON_VOUCHER_TITLE	Znajdź Kupony SM!
ITEMSHOP_TIME_ITEM_EVENT_END	Aukcja zakończona
ITEMSHOP_TIME_ACCOUNT_LIMIT	|cff0084ffLimit %d zakupów na konto.|r
ITEMSHOP_TIME_PROGRESS_TOOLTIP	Pozostało %d%% depozytu.
OPEN_URL_INFO	Otwiera odnośnik do strony www.
SUBSCRIPTION_PRES_TITLE1	Czym jest Konto Premium?
SUBSCRIPTION_PRES_TITLE2	Jakie otrzymam benefity?
SUBSCRIPTION_PRES_DESC1	Jest to sposób na regularne wspieranie projektu, a także najlepszy pakiet dla gracza,[ENTER]z najlepszą ceną do wartości jakie otrzymasz, po dołączeniu do graczy premium.
SUBSCRIPTION_PRES_DESC2	Najważniejsze bonusy to:
SUBSCRIPTION_PRES_DESC3	Dodatkowo otrzymasz %d innych benefitów.[ENTER](Najedź myszką na ikonę, aby zobaczyć opis)
SUBSCRIPTION_PRES_DESC4	Wszystko to za 50 zł na miesiąc!
SUBSCRIPTION_BENEFIT_EXP	50% więcej doświadczenia
SUBSCRIPTION_BENEFIT_DROP	Podwojona szansa na drop przedmiotów
SUBSCRIPTION_BENEFIT_GOLD	Podwojona szansa na drop Yang.
SUBSCRIPTION_BENEFIT_CHANNEL	Dostęp do kanału Premium[ENTER]Możliwe jest teleportowanie małżonka na kanał Premium.
SUBSCRIPTION_BENEFIT_PASSAGE	Darmowy dostęp do Lochu Pająków V2.
SUBSCRIPTION_BENEFIT_DEPOSIT	Dodatkowe 45 slotów w magazynie.
SUBSCRIPTION_BENEFIT_PICKUP	Automatyczne podnoszenie Yang.
SUBSCRIPTION_BENEFIT_FISH	Dodatkowa szansa na pomyślne wyłowienie ryby.
SUBSCRIPTION_BENEFIT_LOVE	Podwojona regeneracja punktów miłości.
SUBSCRIPTION_BENEFIT_EMOTION	Możliwość korzystania z Emocji
SUBSCRIPTION_BENEFIT_SHOP	Dodatkowe 20 slotów w sklepie[ENTER]Możliwość wystawienia sklepu do 48h[ENTER]Edycja nazwy otwartego sklepu[ENTER]Omija darmowy limit sklepów na kanale.
SUBSCRIPTION_BENEFIT_ITEM_VIEW	Możliwość wysyłania podglądu przedmiotów na czacie.
SUBSCRIPTION_BENEFIT_ONLY_SUB	Dostępne tylko dla Premium
SUBSCRIPTION_BUTTON	Kup!
ITEMSHOP_TASKBAR_TOOLTIP	ItemShop
ITEMSHOP_NO_AUCTIONS	Obecnie nie ma żadnych ofert błyskawicznych.
ITEMSHOP_BUY_BUTTON	Kup %d (%s)
ITEMSHOP_CONFIM_BUY	Czy chcesz kupić %s (szt. %d) za %s?
